Keyword,Intent,Keyword Difficulty,Keyword Opportunity,CPC,Volume ricerca,Stagionalità
influencers,Informational,56,36,0.78,27100,
influencer,Informational,42,32,0.61,27100,
storytelling,Informational,62,24,0.73,18100,
kaizen,Informational,41,40,0.62,18100,
project manajer,Informational,50,74,1.54,14800,
progect manager,Informational,53,73,1.99,14800,
mvp,Informational,30,60,0.06,14800,
projectmanager,Informational,47,61,2.28,12100,
lungimirante,Informational,53,38,0,8100,
behavior driven development,Informational,33,63,1.17,5400,
bdd,Informational,36,57,1.17,5400,
legge di attrazione,Informational,50,62,0.2,4400,
stand-up,Informational,39,76,0.76,4400,
backlog,Informational,58,30,3.56,4400,
brainstorming significato,Informational,51,74,0,4400,
legge dell'attrazione,Informational,54,41,0.39,3600,
ikigai significato,Informational,40,80,0.24,3600,
just in time,Informational,40,48,0,3600,
scrum master,"Transactional,Informational",37,34,1.26,3600,
change management,Informational,45,38,2.82,2900,
pmp,Informational,35,44,1.72,2900,
tps,Informational,48,37,0,2900,
ostruzionismo,Informational,56,31,0,2900,
itil,Informational,45,39,8.97,2400,
portfolio significato,Informational,50,75,0,2400,
prioritizzazione,Informational,26,68,0,2400,
dor,Commercial,55,33,0.48,2400,
root causes analysis,Informational,32,80,1.11,1900,
business case,Informational,52,29,0.63,1900,
project manager cosa fa,Informational,56,67,0.45,1900,
autorevolezza significato,Informational,30,83,0,1900,
coercitivo,Informational,67,23,0,1900,
oceano blu,Informational,47,31,0.28,1600,
lean management,Informational,29,53,1.34,1600,
facilitazione,Informational,27,47,0,1600,
lungimiranza,Informational,38,45,0,1600,
top down,Informational,55,75,0,1600,
criteria,Informational,52,30,0,1600,
root cause analysis,Informational,41,40,0.95,1600,
bottom-up,Informational,54,48,3.82,1600,
early adoption,Informational,40,78,0,1600,
bottom up,Informational,49,55,0,1600,
insoddisfatti,Informational,44,74,0,1600,
empathy map,Informational,45,24,0,1300,
service desk,Informational,47,30,5.55,1300,
oratoria,Informational,48,39,0,1300,
rca root cause analysis,Informational,32,80,1.85,1300,
digital it transformation,Informational,42,76,17.01,1300,
pmp certificazione,Informational,25,85,3.77,1000,
product owner,Informational,47,30,0.91,1000,
emphaty map,Informational,30,82,0,1000,
empathy maps,Informational,30,81,1.26,1000,
andon,Informational,28,42,1.5,880,
continuos delivery,Informational,33,81,4.7,880,
middle management,Informational,29,46,0.91,880,
service manager,Informational,36,38,2.03,880,
early adopters,Informational,44,64,0,880,
minimun viable product,Informational,35,79,0.31,880,
change manag,Informational,57,32,3.39,880,
reskilling,Informational,61,31,1.4,880,
minimum viable product,Informational,48,38,2.17,880,
user story,Informational,46,37,1.25,880,
portfolio management,Informational,34,44,5.76,880,
change management manager,Informational,38,78,3.39,880,
smo,Informational,41,50,0,880,
approccio sistemico,Informational,44,54,0,720,
master of human resources,Informational,43,77,6.07,720,
struttura funzionale,Informational,32,78,0,720,
leadership servant,Informational,21,83,0.54,720,
digital marketing master,Informational,37,80,12.03,720,
project management certificazioni,"Commercial,Informational",36,81,4.75,720,
autoconsapevolezza,Informational,35,49,0.16,720,
tqm,Informational,34,49,1.38,720,
middle managment,Informational,20,86,0,720,
brainstorming esempi,Informational,34,80,0.17,720,
backlog significato,Informational,42,79,0,720,
rendimenti di scala,Informational,71,23,0,720,
lin management,Informational,22,87,0.73,720,
cobit,Informational,38,35,1.55,720,
minimal viable product,Informational,48,74,0.25,720,
total quality management,Informational,38,41,0.58,720,
crederci sempre arrendersi mai,Informational,62,57,0.02,720,
servant leadership,Informational,36,43,2.36,590,
