Keyword,Intent,Keyword Difficulty,Keyword Opportunity,CPC,Volume ricerca,Stagionalità
feedabck,Informational,30,86,0.47,40500,
influencer,Informational,42,32,0.61,27100,
project manajer,Informational,50,74,1.54,14800,
progect manager,Informational,53,73,1.99,14800,
project manager,Informational,65,28,1.99,14800,
mvp,Informational,30,60,0.06,14800,
teamwork building,Informational,36,76,3.2,14800,
talent garden,Informational,47,30,0.7,12100,
change management managing,Informational,28,82,5.67,12100,
change of manager,Informational,47,76,5.67,12100,
projectmanager,Informational,47,61,2.28,12100,
proattività,Informational,48,40,0.161976178722,9900,
help desk,Informational,51,39,8.39,9900,
cisa,Informational,39,45,1.97,9900,
mvp significato,Informational,29,81,0,8100,
posizionamento,Informational,42,33,0.11,8100,
data scientist,Informational,61,31,1.6,8100,
project managemer,Informational,55,72,2.81,8100,
project management,Informational,50,37,3.59,8100,
road map,Informational,60,55,0.85,6600,
struttura,"Transactional,Informational",52,41,0,6600,
behavior driven development,Informational,33,63,1.17,5400,
bdd,Informational,36,57,1.17,5400,
talentt,Informational,40,52,1.47,5400,
scrum development,Informational,36,82,1.08,5400,
musixmatch,Informational,62,23,0.72,5400,
corso social media menager,Informational,38,77,3.88,5400,
progetto quid,Informational,24,82,0.23,5400,
talent torino,Commercial,54,74,0,5400,
halp desk,Informational,29,84,15.49,5400,
scrum,Informational,42,36,1.89,5400,
output,"Transactional,Informational",56,28,0.3,5400,
backlog,Informational,58,30,3.56,4400,
agile,Informational,45,39,1.43,4400,
ascolto attivo,Informational,45,36,0.18,4400,
decisoni,Informational,36,83,0.11,4400,
hr in management,Informational,33,83,7.68,4400,
hr managment,Informational,16,90,7.68,4400,
human resorses,Informational,38,80,1.73,4400,
pmo,Informational,34,45,2.38,4400,
scrum master,"Transactional,Informational",37,34,1.26,3600,
okrs,Informational,34,57,1.58,3600,
influencer significato,Informational,31,83,0.53,3600,
legge dell'attrazione,Informational,54,41,0.39,3600,
